znamka,model,generacija,verzija,višina,širina,dolžina,teža
Alfa Romeo,147,,1.9 JTD Ducati Corse 5 doors,142.1,172.9,422.3,1310

Alfa Romeo,147,,1.9 JTDm 16v Q2,144.2,172.9,422.3,1285

Alfa Romeo,147,,2.0 TS,144.2,172.9,417,1250

Alfa Romeo,147,,5p 1.6 TS 105HP Moving,,,,1285

Alfa Romeo,147,,5p 1.9 JTD 120HP Moving,,,,1365

Alfa Romeo,147,,GTA,142.1,172.9,417,1435

Renault,15,,GTL Coupe Automatic,130.8,163.2,426,990

Aston Martin,15 hp,,Drop-head Coupe,,,,

Aston Martin,15 hp,,Speed Model,139.7,162.6,426.7,1164

Renault,15,,TL Coupe,130.8,163.2,426,965

Renault,15,,TS Coupe,130.8,163.2,426,1005

Alfa Romeo,155,,1.6 TS,144,173,444.3,1207

Alfa Romeo,155,,1.7 TS,142.5,173,444.3,1205

Alfa Romeo,155,,1.8 TS 16v,142.5,173,444.3,1270

Alfa Romeo,155,,1.8 TS,144,170,444.5,1270

Alfa Romeo,155,,2.0 16v TS,143,173,444,1300

Alfa Romeo,155,,2.0 Q4,144,170,444,1445

Alfa Romeo,155,,2.0 TD,144,170,444,1227

Alfa Romeo,155,,2.0 TS,144,170,444,1290

Alfa Romeo,155,,2.5 TD,142.5,173,444.3,1340

Alfa Romeo,155,,2.5 V6,142.5,173,444.3,1370

Alfa Romeo,156,156,1.6 TS,141.5,174.5,443,1230

Alfa Romeo,156,156,1.8 TS,141.5,174.5,443,1230

Alfa Romeo,156,156,1.9 JTD 16v,141.5,174.5,443,1380

Alfa Romeo,156,156,1.9 JTD 8v,141.5,174.5,443,1380

Alfa Romeo,156,156,1.9 JTD,141.1,174.5,443,1270

Alfa Romeo,156,156,2.0 JTS,141.5,174.5,443,1360

Alfa Romeo,156,156,2.0 TS,141.1,174.5,443,1250

Alfa Romeo,156,156,2.4 JTD 10v,141.5,174.5,443,1460

Alfa Romeo,156,156,2.4 JTD 20v,141.5,174.5,443,1460

Alfa Romeo,156,156,2.4 JTD,141.5,174.5,443,1350

Alfa Romeo,156,156,2.5 V6,141.5,174.5,443,1430

Alfa Romeo,156,156,GTA,140.2,174.5,443,1485

Alfa Romeo,159,,1.8 TBi 200HP Sport Plus,,,,1505

Alfa Romeo,159,,1.8,145.2,183,466.1,1405

Alfa Romeo,159,,1.9 JTDm 120HP Sport ECO,,,,1555

Alfa Romeo,159,,1.9 JTDm 120HP Sport Plus ECO,,,,1555

Alfa Romeo,159,,1.9 JTDm 16v,145.2,183,466.1,1510

Alfa Romeo,159,,1.9 JTDm 8v,145.2,183,466.1,1500

Alfa Romeo,159,,1.9 JTS,145.2,182.8,466.1,1455

Alfa Romeo,159,,2.0 JTDm 170HP Sport Plus ECO,,,,1565

Alfa Romeo,159,,2.0 JTDm 170HP Sport Plus,,,,1565

Alfa Romeo,159,,2.2 JTS,145.2,183,466.1,1465

Alfa Romeo,159,,2.4 JTDm,145.2,183,466.1,1605

Alfa Romeo,159,,3.2 V6 JTS Q4,145.2,183,466.1,1655

Alfa Romeo,159,,SW 1.8 TBi 200HP Sport Plus,,,,1555

Alfa Romeo,159,,SW 1.9 JTDm 120HP Sport ECO,,,,1605

Alfa Romeo,159,,SW 1.9 JTDm 120HP Sport Plus ECO,,,,1605

Alfa Romeo,159,,SW 2.0 JTDm 170HP Sport Plus ECO,,,,1615

Alfa Romeo,159,,SW 2.0 JTDm 170HP Sport Plus,,,,1615

Renault,16,,L,144.8,162.6,425.5,1010

Renault,16,,TL,145,163,424,1010

Renault,16,,TS,135.9,165.1,423,1060

Renault,16,,TX,144.8,162.6,423.5,1060

Volvo,140 - 164,164,Volvo 164,144,173,471,1320

Volvo,140 - 164,164,E,144,173,471,1335

Ferrari,166,,Abarth,121.2,149.5,418,545

Ferrari,166,,Inter,,,,900

Ferrari,166,,MM,,,,650

Renault,17,,Gordini,131.1,163.1,426,1055

Renault,17,,TL,130.8,164.5,426,1015

Renault,17,,TS Automatic,130.8,163.8,426,1075

Renault,17,,TS,130.8,163.8,426,1040

Alfa Romeo,1750 Berlina,,Alfa Romeo 1750 Berlina,143,157.5,439.4,1110

Alfa Romeo,1750 GTV,,Alfa Romeo 1750 GTV,132.1,157.5,408.9,1038

Renault,18,,1.4 TL/GTL,140.0,169.0,438.0,900

Renault,18,,1.4 TL,140.0,170.0,439.0,900

Renault,18,,1.6 GTL,140.0,169.0,438.0,940

Renault,18,,1.6 TS/GTS,140.0,169.0,438.0,940

Renault,18,,1.6,140.0,169.0,438.0,940

Renault,18,,2.0 Automatic,140.0,169.0,438.0,994

Renault,18,,2.0 GTX Type 2,140,168,439,1015

Renault,18,,2.0 TX/GTX,140.0,169.0,438.0,1003

Renault,18,,TD/GTD,140.0,170.0,439.0,1046

Renault,18,,TL Break,140,169,449,995

Renault,18,,TS Break 5-Speed,140.2,169,446.3,1025

Renault,18,,TS Break,140.2,169,446.3,1025

Renault,18,,Turbo-D Type 2,140,168,439,1085

Renault,18,,Turbo Type 2,140.5,169.6,439.4,1040

Renault,18,,Turbo,140.0,169.0,438.0,1040

Renault,19,19 Cabriolet,1.8 16v,141.0,170.0,416.0,1182

Renault,19,19 Cabriolet,1.8 RSi,141.0,170.0,416.0,1163

Renault,19,19 Cabriolet,1.8,141.0,170.0,416.0,1196

Renault,19,19 Chamade,1.4 TR/GTR,142.0,169.0,426.0,932

Renault,19,19 Chamade,1.4 TS/GTS Energy,142.0,169.0,426.0,920

Renault,19,19 Chamade,1.7 GTX/TXE,142.0,169.0,426.0,1059

Renault,19,19 Chamade,1.7 TS/GTS,142.0,169.0,426.0,974

Renault,19,19 Chamade,16v,142.0,169.0,426.0,1085

Renault,19,19 Chamade,TD/GTD,142.0,169.0,426.0,998

Renault,19,19 Chamade,Turbo D,142.0,169.0,426.0,1075

Alfa Romeo,1900,1900 Berlina,Alfa Romeo 1900 Berlina,149,160,440,1100

Alfa Romeo,1900,1900 Berlina,Super,149,160,440,1100

Alfa Romeo,1900M,,AR 51 La Matta,182,157,352,1250

Ferrari,195,,Inter,,,,950

Ferrari,195,,Sport,,,,720

