znamka,model,generacija,verzija,višina,širina,dolžina,teža

Citroen,C4 Picasso,C4 Picasso,1.6HDiF 110,168.0,183.0,447.0,1505

Citroen,C4 Picasso,C4 Picasso,1.8 16v,168.0,183.0,447.0,1445

Citroen,C4 Picasso,C4 Picasso,2.0 16v,168.0,183.0,447.0,1486

Citroen,C4 Picasso,C4 Picasso,2.0 HDiF,168.0,183.0,447.0,1595

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 100 Live Edition,161.3,182.6,442.8,1371

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 100 Live,161.3,182.6,442.8,1371

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 120 EAT6 Feel Edition,161.3,182.6,442.8,1395

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 120 EAT6 Feel,161.3,182.6,442.8,1395

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 120 EAT6 Live Edition,161.3,182.6,442.8,1395

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 120 Feel Edition,161.3,182.6,442.8,1395

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 120 Feel,161.3,182.6,442.8,1395

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 120 Live Edition,161.3,182.6,442.8,1395

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 150 EAT6 Exclusive,161.3,182.6,442.8,1490

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 150 EAT6 Feel Edition,161.3,182.6,442.8,1490

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 150 EAT6 Feel,161.3,182.6,442.8,1490

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 150 EAT6 Intensive Plus,161.3,182.6,442.8,1510

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 150 EAT6 Intensive,161.3,182.6,442.8,1510

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 150 Exclusive,161.3,182.6,442.8,1490

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 150 Feel Edition,161.3,182.6,442.8,1490

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 150 Feel,161.3,182.6,442.8,1490

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 150 Intensive Plus,161.3,182.6,442.8,1490

Citroen,C4 Picasso,C4 Picasso 2,BlueHDi 150 Intensive,161.3,182.6,442.8,1490

Citroen,C4 Picasso,C4 Picasso,Business HDi 110 Euro4 CMP,,,,1573

Citroen,C4 Picasso,C4 Picasso,Business HDi 110 Euro4,,,,1564

Citroen,C4 Picasso,C4 Picasso,Business VTi 120,,,,1490

Citroen,C4 Picasso,C4 Picasso 2,e-HDi 115 Airdream Attraction,161.3,182.6,442.8,1373

Citroen,C4 Picasso,C4 Picasso 2,e-HDi 115 Airdream ETG6 Exclusive,161.3,182.6,442.8,1370

Citroen,C4 Picasso,C4 Picasso 2,e-HDi 115 Airdream ETG6 Intensive Plus,161.3,182.6,442.8,1370

Citroen,C4 Picasso,C4 Picasso 2,e-HDi 115 Airdream ETG6 Intensive,161.3,182.6,442.8,1370

Citroen,C4 Picasso,C4 Picasso 2,e-HDi 115 Airdream ETG6 Seduction,161.3,182.6,442.8,1370

Citroen,C4 Picasso,C4 Picasso 2,e-HDi 115 Airdream Exclusive,161.3,182.6,442.8,1373

Citroen,C4 Picasso,C4 Picasso 2,e-HDi 115 Airdream Intensive Plus,161.3,182.6,442.8,1373

Citroen,C4 Picasso,C4 Picasso 2,e-HDi 115 Airdream Intensive,161.3,182.6,442.8,1373

Citroen,C4 Picasso,C4 Picasso 2,e-HDi 115 Airdream Seduction,161.3,182.6,442.8,1373

Citroen,C4 Picasso,C4 Picasso 2,e-HDi 90 Airdream ETG6 Seduction,161.3,182.6,442.8,1364

Citroen,C4 Picasso,C4 Picasso,Exclusive e-HDi 112 CMP,,,,1615

Citroen,C4 Picasso,C4 Picasso,Exclusive HDi 112 CMP,,,,1495

Citroen,C4 Picasso,C4 Picasso,Exclusive HDi 112,,,,1505

Citroen,C4 Picasso,C4 Picasso,Exclusive HDi 135 CMP,,,,1656

Citroen,C4 Picasso,C4 Picasso,Exclusive HDi 150,,,,1685

Citroen,C4 Picasso,C4 Picasso,Exclusive HDi 160 CAS,,,,1689

Citroen,C4 Picasso,C4 Picasso,Exclusive Plus e-HDi 112 CMP,,,,1615

Citroen,C4 Picasso,C4 Picasso,Exclusive Plus HDi 112 CMP,,,,1495

Citroen,C4 Picasso,C4 Picasso,Exclusive Plus HDi 112,,,,1505

Citroen,C4 Picasso,C4 Picasso,Exclusive Plus HDi 135 CMP,,,,1656

Citroen,C4 Picasso,C4 Picasso,Exclusive Plus HDi 150,,,,1685

Citroen,C4 Picasso,C4 Picasso,Exclusive Plus THP 155 CMP,,,,1505

Citroen,C4 Picasso,C4 Picasso,Exclusive THP 155 CMP,,,,1505

Citroen,C4 Picasso,C4 Picasso,HDi 110 Avatar,,,,1564

Citroen,C4 Picasso,C4 Picasso,HDi 110 CMP Avatar,,,,1574

Citroen,C4 Picasso,C4 Picasso,HDi 110 CMP Cool,,,,1574

Citroen,C4 Picasso,C4 Picasso,HDi 110 CMP Exclusive Plus,,,,1574

Citroen,C4 Picasso,C4 Picasso,HDi 110 CMP Exclusive,,,,1574

Citroen,C4 Picasso,C4 Picasso,HDi 110 CMP SX,,,,1574

Citroen,C4 Picasso,C4 Picasso,HDi 110 Cool,,,,1564

Citroen,C4 Picasso,C4 Picasso,HDi 110 Exclusive Plus,,,,1564

Citroen,C4 Picasso,C4 Picasso,HDi 110 Exclusive,,,,1564

Citroen,C4 Picasso,C4 Picasso,HDi 110 FAP Avatar,,,,1564

Citroen,C4 Picasso,C4 Picasso,HDi 110 FAP CMP Avatar,,,,1574

Citroen,C4 Picasso,C4 Picasso,HDi 110 FAP CMP Cool,,,,1574

Citroen,C4 Picasso,C4 Picasso,HDi 110 FAP CMP Exclusive Plus,,,,1574

Citroen,C4 Picasso,C4 Picasso,HDi 110 FAP CMP Exclusive,,,,1574

Citroen,C4 Picasso,C4 Picasso,HDi 110 FAP CMP SX,,,,1574

Citroen,C4 Picasso,C4 Picasso,HDi 110 FAP Cool,,,,1564

Citroen,C4 Picasso,C4 Picasso,HDi 110 FAP Exclusive Plus,,,,1564

Citroen,C4 Picasso,C4 Picasso,HDi 110 FAP Exclusive,,,,1564

Citroen,C4 Picasso,C4 Picasso,HDi 110 FAP SX,,,,1564

Citroen,C4 Picasso,C4 Picasso,HDi 110 SX,,,,1564

Citroen,C4 Picasso,C4 Picasso 2,HDi 115 Attraction,161.3,182.6,442.8,1365

Citroen,C4 Picasso,C4 Picasso 2,HDi 115 Seduction,161.3,182.6,442.8,1365

Citroen,C4 Picasso,C4 Picasso,HDi 135 CAS Exclusive Plus,,,,1715

Citroen,C4 Picasso,C4 Picasso,HDi 135 CMP Avatar,,,,1656

Citroen,C4 Picasso,C4 Picasso,HDi 135 CMP Exclusive Plus,,,,1656

Citroen,C4 Picasso,C4 Picasso,HDi 135 CMP Exclusive,,,,1656

Citroen,C4 Picasso,C4 Picasso,HDi 135 CMP SX,,,,1656

Citroen,C4 Picasso,C4 Picasso,HDi 135 FAP CAS Exclusive Plus,,,,1715

Citroen,C4 Picasso,C4 Picasso,HDi 135 FAP CMP Avatar,,,,1656

Citroen,C4 Picasso,C4 Picasso,HDi 135 FAP CMP Exclusive Plus,,,,1656

Citroen,C4 Picasso,C4 Picasso,HDi 135 FAP CMP Exclusive,,,,1656

Citroen,C4 Picasso,C4 Picasso,HDi 135 FAP CMP SX,,,,1656

Citroen,C4 Picasso,C4 Picasso,HDi 150 Avatar,,,,1685

Citroen,C4 Picasso,C4 Picasso,HDi 150 Exclusive Plus,,,,1685

Citroen,C4 Picasso,C4 Picasso,HDi 150 Exclusive,,,,1685

Citroen,C4 Picasso,C4 Picasso,HDi 150 FAP Avatar,,,,1685

Citroen,C4 Picasso,C4 Picasso,HDi 150 FAP Exclusive Plus,,,,1685

Citroen,C4 Picasso,C4 Picasso,HDi 150 FAP Exclusive,,,,1685

Citroen,C4 Picasso,C4 Picasso,HDi 150 FAP SX,,,,1685

Citroen,C4 Picasso,C4 Picasso,HDi 150 SX,,,,1685

Citroen,C4 Picasso,C4 Picasso 2,HDi 90 Attraction,161.3,182.6,442.8,1354

Citroen,C4 Picasso,C4 Picasso 2,HDi 90 Seduction,161.3,182.6,442.8,1354

Citroen,C4 Picasso,C4 Picasso,Millenium e-HDi 112 CMP,,,,1615

Citroen,C4 Picasso,C4 Picasso,Millenium HDi 110 Euro4 CMP,,,,1573

Citroen,C4 Picasso,C4 Picasso,Millenium HDi 110 Euro4,,,,1564

Citroen,C4 Picasso,C4 Picasso,Millenium HDi 135 CMP,,,,1656

Citroen,C4 Picasso,C4 Picasso,Millenium HDi 150,,,,1685

Citroen,C4 Picasso,C4 Picasso,Millenium VTi 120,,,,1490

Citroen,C4 Picasso,C4 Picasso 2,PureTech 130 Attraction,161.3,182.6,442.8,1355

Citroen,C4 Picasso,C4 Picasso 2,PureTech 130 Feel Edition,161.3,182.6,442.8,1355

Citroen,C4 Picasso,C4 Picasso 2,PureTech 130 Feel,161.3,182.6,442.8,1355

Citroen,C4 Picasso,C4 Picasso 2,PureTech 130 Intensive Plus,161.3,182.6,442.8,1355

Citroen,C4 Picasso,C4 Picasso 2,PureTech 130 Intensive,161.3,182.6,442.8,1355

Citroen,C4 Picasso,C4 Picasso 2,PureTech 130 Live Edition,161.3,182.6,442.8,1355

Citroen,C4 Picasso,C4 Picasso 2,PureTech 130 Live,161.3,182.6,442.8,1355

Citroen,C4 Picasso,C4 Picasso 2,PureTech 130 Seduction,161.3,182.6,442.8,1355

Citroen,C4 Picasso,C4 Picasso,SX e-HDi 112 CMP,,,,1615

Citroen,C4 Picasso,C4 Picasso,SX HDi 110 Euro4 CMP,,,,1573

Citroen,C4 Picasso,C4 Picasso,SX HDi 110 Euro4,,,,1564

Citroen,C4 Picasso,C4 Picasso,SX HDi 135 CMP,,,,1656

Citroen,C4 Picasso,C4 Picasso,SX HDi 150,,,,1685

Citroen,C4 Picasso,C4 Picasso,SX VTi 120,,,,1490

Citroen,C4 Picasso,C4 Picasso,THP 150 CMP Exclusive Plus,,,,1581

Citroen,C4 Picasso,C4 Picasso,THP 150 CMP Exclusive,,,,1581

Citroen,C4 Picasso,C4 Picasso,THP 150 CMP SX,,,,1581

Citroen,C4 Picasso,C4 Picasso 2,THP 155 Exclusive,161.3,182.6,442.8,1371

Citroen,C4 Picasso,C4 Picasso 2,THP 155 Intensive,161.3,182.6,442.8,1371

Citroen,C4 Picasso,C4 Picasso 2,THP 165 S&S EAT6 Exclusive,161.3,182.6,442.8,1385

Citroen,C4 Picasso,C4 Picasso 2,THP 165 S&S EAT6 Feel Edition,161.3,182.6,442.8,1385

Citroen,C4 Picasso,C4 Picasso 2,THP 165 S&S EAT6 Feel,161.3,182.6,442.8,1385

Citroen,C4 Picasso,C4 Picasso 2,THP 165 S&S EAT6 Intensive Plus,161.3,182.6,442.8,1385

Citroen,C4 Picasso,C4 Picasso 2,VTi 120 Attraction,161.3,182.6,442.8,1327

Citroen,C4 Picasso,C4 Picasso,VTi 120 Avatar,,,,1533

Citroen,C4 Picasso,C4 Picasso,VTi 120 Cool,,,,1533

Citroen,C4 Picasso,C4 Picasso 2,VTi 120 Seduction,161.3,182.6,442.8,1327

Citroen,C4 Picasso,C4 Picasso,VTi 120 SX,,,,1533

Citroen,C4,C4 III,PureTech 100,152.5,180.0,436.0,1226

Citroen,C4,C4 III,PureTech 130 Auto,152.5,180.0,436.0,1253

Citroen,C4,C4 III,PureTech 130,152.5,180.0,436.0,1222

Citroen,C4,C4 III,PureTech 155,152.5,180.0,436.0,1274

Citroen,C4 SpaceTourer,C4 SpaceTourer,BlueHDi 120 Auto,161.0,182.6,442.8,1295

Citroen,C4 SpaceTourer,C4 SpaceTourer,BlueHDi 120,161.0,182.6,442.8,1295

Citroen,C4 SpaceTourer,C4 SpaceTourer,BlueHDi 130 Auto,161.0,182.6,442.8,1381

Citroen,C4 SpaceTourer,C4 SpaceTourer,BlueHDi 130,161.0,182.6,442.8,1295

Citroen,C4 SpaceTourer,C4 SpaceTourer,BlueHDi 160,161.0,182.6,442.8,1492

Citroen,C4 SpaceTourer,C4 SpaceTourer,PureTech 130 Auto,161.0,182.6,442.8,1295

Citroen,C4 SpaceTourer,C4 SpaceTourer,PureTech 130,161.0,182.6,442.8,1295

Citroen,C4 SpaceTourer,C4 SpaceTourer,THP 165,161.0,182.6,442.8,1285

Citroen,C4,C4,THP 155 CMP,,,,1350

Citroen,C4,C4,VTi 120 Aut.,,,,1345

Citroen,C4,C4,VTi 120 GPL,,,,1370

Citroen,C4,C4,VTi 120,,,,1280

Citroen,C4,C4,VTi 95,,,,1275

Citroen,C4,C4 III,ë-C4 50kWh 136,152.5,180.0,436.0,1516

Volvo,C40,,Recharge Twin Pure Electric AWD,158.2,185,443.1,2185

Citroen,C5,C5,1.6 HDi,147.6,178.0,474.5,1424

Citroen,C5,C5,1.8 16v,147.6,178.0,474.5,1377

Citroen,C5,C5,2.0 16v,148.0,177.0,475.0,1369

Citroen,C5,C5,2.0 HDi 110,148.0,177.0,462.0,1360

Citroen,C5,C5,2.0 HDi 138,147.6,178.0,474.5,1498

Citroen,C5,C5,2.0 HDi 90,148.0,177.0,462.0,1335

Citroen,C5,C5,2.0 HPi,148.0,177.0,462.0,1300

Citroen,C5,C5,2.2 HDi 16v 136,148.0,177.0,462.0,1460

Citroen,C5,C5,2.2 HDiF 16v,148.0,177.0,475.0,1551

Citroen,C5,C5,3.0i V6,147.6,178.0,474.5,1529

Citroen,C5,C5 II,BlueHDi 150 S&S Feel Edition,145.1,186.0,477.9,1615

Citroen,C5,C5 II,BlueHDi 150 S&S Feel,145.8,186.0,477.9,1615

Citroen,C5,C5 II,BlueHDi 150 S&S Live,145.8,186.0,477.9,1615

Citroen,C5,C5 II,BlueHDi 150 S&S Shine,145.1,186.0,477.9,1615

Citroen,C5,C5 II,BlueHDi 180 S&S EAT6 Feel Edition,145.1,186.0,477.9,1695

Citroen,C5,C5 II,BlueHDi 180 S&S EAT6 Shine,145.1,186.0,477.9,1695

Citroen,C5,C5 II,Business 1.8i 16v 127,,,,1585

Citroen,C5,C5 II,Business 1.8i 16v,,,,1585

Citroen,C5,C5 II,Business HDi 110 FAP Airdream,,,,1560

Citroen,C5,C5 II,Business HDi 110 FAP,,,,1560

Citroen,C5,C5 II,Business HDi 140 FAP,,,,1683

Citroen,C5,C5 II,Exclusive 3.0i V6 215 CAS,,,,1800

Citroen,C5,C5 II,Exclusive HDi 138 FAP CAS,,,,1733

Citroen,C5,C5 II,Exclusive HDi 140 FAP,,,,1683

Citroen,C5,C5 II,Exclusive HDi 160 FAP CAS,,,,1684

Citroen,C5,C5 II,Exclusive HDi 160 FAP,,,,1683

Citroen,C5,C5 II,Exclusive HDi 170 FAP,,,,1804

Citroen,C5,C5 II,Exclusive THP 155 CAS,,,,1546

Citroen,C5,C5 II,Exclusive V6 HDi 240 FAP CAS,,,,1841

Citroen,C5,C5 II,Millenium HDi 110 FAP,,,,1578

Citroen,C5,C5 II,Millenium HDi 140 FAP,,,,1683

Citroen,C5,C5 II,Millenium HDi 160 FAP,,,,1683

Citroen,C5,C5 II,Premier 2.0i 16v 143,,,,1596

Citroen,C5,C5 II,Premier HDi 138 FAP CAS,,,,1733

Citroen,C5,C5 II,Premier HDi 140 FAP,,,,1683

Citroen,C5,C5 II,Premier HDi 160 FAP CAS,,,,1684

Citroen,C5,C5 II,Premier HDi 160 FAP,,,,1683

Citroen,C5,C5 II,Premier THP 155,,,,1546

Citroen,C5,C5 II,S HDi 110 FAP,,,,1578

Citroen,C5,C5 II,S HDi 140 FAP,,,,1683

Citroen,C6,,170 HDi FAP CAS Business,,,,1923

Citroen,C6,,170 HDi FAP CAS Exclusive,,,,1923

Citroen,C6,,2.2 HDi,146.0,186.0,491.0,1795

Citroen,C6,,2.7 HDi,146.0,186.0,491.0,1871

Citroen,C6,,3.0i,146.0,186.0,491.0,1816

Citroen,C6,,HDi 170 FAP CAS Business,,,,1923

Citroen,C6,,HDi 170 FAP CAS Exclusive,,,,1923

Citroen,C6,,V6 HDi 240 CAS Exclusive,,,,1948

Volvo,C70,C70 II,2.0D Momentum Aut.,,,,

Volvo,C70,C70 II,2.0D Momentum,,,,

Volvo,C70,C70 II,2.0D Summum Aut.,,,,

Volvo,C70,C70 II,2.0D Summum,,,,

Volvo,C70,C70 II,2.4 Momentum Aut.,,,,

Volvo,C70,C70 II,2.4 Momentum,,,,

Volvo,C70,C70 II,2.4 Summum Aut.,,,,

Volvo,C70,C70 II,2.4 Summum,,,,

Volvo,C70,C70 II,2.4,140.0,182.0,458.0,1592

Volvo,C70,C70 II,2.4i Momentum Aut.,,,,

Volvo,C70,C70 II,2.4i Momentum,,,,

Volvo,C70,C70 II,2.4i Summum Aut.,,,,

Volvo,C70,C70 II,2.4i Summum,,,,

Volvo,C70,C70 II,2.4i,140.0,182.0,458.0,1592

Volvo,C70,C70 Cabrio,2.0T HP,142.9,181.7,471.6,1565

Volvo,C70,C70 Cabrio,2.0T LP,142.9,181.7,471.6,1565

Volvo,C70,C70 Cabrio,2.3T T5 245,142.9,181.7,471.6,1565

Volvo,C70,C70 Cabrio,2.3T T5,142.9,181.7,471.6,1565

Volvo,C70,C70 Cabrio,2.4T,142.9,181.7,471.6,1565

Volvo,C70,C70 II,D5 Aut.,140.0,182.0,458.0,1659

Volvo,C70,C70 II,D5 MANUAL,140.0,182.0,458.0,1659

Volvo,C70,C70 II,D5 Momentum Aut.,,,,

Volvo,C70,C70 II,D5 Momentum,,,,

Volvo,C70,C70 II,D5 Summum Aut.,,,,

Volvo,C70,C70 II,D5 Summum,,,,

Volvo,C70,C70 II,Inscription D3 Geartronic,140.0,183.6,461.5,

Volvo,C70,C70 II,Inscription D4 Geartronic,140.0,183.6,461.5,

Volvo,C70,C70 II,Inscription T5 Geartronic,140.0,183.6,461.5,

Volvo,C70,C70 II,Momentum D3 Aut.,,,,

Volvo,C70,C70 II,Momentum D3,,,,

Volvo,C70,C70 II,Momentum D4 Aut.,,,,

Volvo,C70,C70 II,Momentum D4,,,,

Volvo,C70,C70 II,Summum D3 Aut.,,,,

Volvo,C70,C70 II,Summum D3,,,,

Volvo,C70,C70 II,Summum D4 Aut.,,,,

Volvo,C70,C70 II,Summum D4,,,,

Volvo,C70,C70 II,Summum T5 Aut.,,,,

Volvo,C70,C70 II,Summum T5,,,,

Volvo,C70,C70 II,T5 Summum Aut.,,,,

Volvo,C70,C70 II,T5 Summum,,,,

Volvo,C70,C70 II,T5,140.0,182.0,458.0,1611

Citroen,C8,C8 Phase I,2.0 HDI 138,186.0,185.0,473.0,1718

Citroen,C8,C8 Phase I,2.0 HDi,185.6,185.4,472.6,1710

Citroen,C8,C8 Phase I,2.0i 16v,186.0,185.0,473.0,1606

Citroen,C8,C8 Phase I,2.2 HDi 128,185.6,185.4,472.6,1750

Citroen,C8,C8 Phase I,2.2i 16v,186.0,185.0,473.0,1623

Citroen,C8,C8 Phase I,3.0i V6,186.0,185.0,473.0,1759

Audi,Cabriolet (Typ 8G),,1.8 20v,138.0,172.0,437.0,1370

Audi,Cabriolet (Typ 8G),,1.9 TDI,138.0,172.0,437.0,1390

Audi,Cabriolet (Typ 8G),,2.0,138.0,172.0,437.0,1315

Audi,Cabriolet (Typ 8G),,2.3,138.0,172.0,437.0,1350

Audi,Cabriolet (Typ 8G),,2.6,138.0,172.0,437.0,1415

Audi,Cabriolet (Typ 8G),,2.8,138.0,172.0,437.0,1430

Alpine,Cabriolet,,Sport,120,145,378,540

Volkswagen,Caddy,Caddy 4,1.4 TGI 110HP 7 seats,182.2,179.4,440.5,

Volkswagen,Caddy,Caddy 4,1.4 TGI 110HP,182.2,179.4,440.5,

Volkswagen,Caddy,Caddy 4,1.4 TSI 125HP 7 seats,182.2,179.4,440.5,

Volkswagen,Caddy,Caddy 4,1.4 TSI 125HP DSG 7 Speeds,182.2,179.4,440.5,

Volkswagen,Caddy,Caddy 4,1.4 TSI 125HP,182.2,179.4,440.5,1387

Volkswagen,Caddy,Caddy 4,1.4 TSI 130HP DSG-7,182.2,179.3,440.8,1445

Volkswagen,Caddy,Caddy 4,2.0 TDI 102HP 7 seats,182.2,179.4,440.5,

Volkswagen,Caddy,Caddy 4,2.0 TDI 102HP Bluemotion,182.2,179.4,440.5,

Volkswagen,Caddy,Caddy 4,2.0 TDI 102HP DSG 6 Speeds 7 seats,182.2,179.4,440.5,

Volkswagen,Caddy,Caddy 4,2.0 TDI 102HP DSG 6 Speeds,182.2,179.4,440.5,1492

Volkswagen,Caddy,Caddy 4,2.0 TDI 102HP,182.2,179.4,440.5,1457

Volkswagen,Caddy,Caddy 4,2.0 TDI 122HP 4MOTION 7 seats,184.6,179.4,440.5,

Volkswagen,Caddy,Caddy 4,2.0 TDI 122HP 4MOTION,184.6,179.4,440.5,

Volkswagen,Caddy,Caddy 4,2.0 TDI 150HP 4MOTION DSG 6 Speeds 7 seats,184.6,179.4,440.5,

Volkswagen,Caddy,Caddy 4,2.0 TDI 150HP 4MOTION DSG 6 Speeds,184.6,179.4,440.5,1590

Volkswagen,Caddy,Caddy 4,2.0 TDI 150HP 7 seats,182.2,179.4,440.5,

Volkswagen,Caddy,Caddy 4,2.0 TDI 150HP DSG 6 Speeds 7 seats,182.2,179.4,440.5,

Volkswagen,Caddy,Caddy 4,2.0 TDI 150HP DSG 6 Speeds,182.2,179.4,440.5,1498

Volkswagen,Caddy,Caddy 4,2.0 TDI 150HP,182.2,179.4,440.5,1477

Volkswagen,Caddy,Caddy 5 Cargo,1.5 TSI 114HP Auto,185.6,185.5,450.0,1407

Volkswagen,Caddy,Caddy 5 Cargo,1.5 TSI 114HP,185.6,185.5,450.0,1377

Volkswagen,Caddy,Caddy 5 Cargo,2.0 TDI 102HP,185.6,185.5,450.0,1445

Volkswagen,Caddy,Caddy 5 Cargo,2.0 TDI 122HP 4Motion,185.6,185.5,450.0,1551

Volkswagen,Caddy,Caddy 5 Cargo,2.0 TDI 122HP DSG,185.6,185.5,450.0,1473

Volkswagen,Caddy,Caddy 5 Cargo,2.0 TDI 122HP,185.6,185.5,450.0,1447

Volkswagen,Caddy,Caddy 5 Cargo,2.0 TDI 75HP,185.6,185.5,450.0,1445

Volkswagen,Caddy,Caddy 3,Comfortline 5 seats 1.2 TSI 105HP,182.2,179.4,440.6,1502

Volkswagen,Caddy,Caddy 3,Comfortline 5 seats 1.6 BiFuel 102HP,182.2,179.4,440.6,1599

Volkswagen,Caddy,Caddy 3,Comfortline 5 seats 1.6 TDI 102HP Bluemotion Technology,182.2,179.4,440.6,1596

Volkswagen,Caddy,Caddy 3,Comfortline 5 seats 1.6 TDI 102HP DSG,182.2,179.4,440.6,1606

Volkswagen,Caddy,Caddy 3,Comfortline 5 seats 1.6 TDI 102HP,182.2,179.4,440.6,1588

Volkswagen,Caddy,Caddy 3,Comfortline 5 seats 2.0 Ecofuel 109CV,182.2,179.4,440.6,1682

Volkswagen,Caddy,Caddy 3,Comfortline 5 seats 2.0 TDI 110 4MOTION,182.2,179.4,440.6,1691

Volkswagen,Caddy,Caddy 3,Comfortline 5 seats 2.0 TDI 140HP,182.2,179.4,440.6,1600

Volkswagen,Caddy,Caddy 3,Kombi 1.4,183.3,180.2,440.5,1485

Volkswagen,Caddy,Caddy 3,Kombi 1.6,183.3,180.2,440.5,1495

Volkswagen,Caddy,Caddy 3,Kombi 1.9 TDI 104HP DSG,183.3,180.2,440.5,1560

Volkswagen,Caddy,Caddy 3,Kombi 1.9 TDI 104HP,183.3,180.2,440.5,1560

Volkswagen,Caddy,Caddy 3,Kombi 1.9 TDI 105HP 4Motion,,,,1648

Volkswagen,Caddy,Caddy 3,Kombi 1.9 TDI 75HP,183.3,180.2,440.5,1560

Volkswagen,Caddy,Caddy 3,Kombi 2.0 Ecofuel,,,,1583

Volkswagen,Caddy,Caddy 3,Kombi Plus 1.4,183.3,180.2,440.5,1485

Volkswagen,Caddy,Caddy 3,Kombi Plus 1.6,183.3,180.2,440.5,1495

Volkswagen,Caddy,Caddy 3,Kombi Plus 1.9 TDI 104HP DSG,183.3,180.2,440.5,1560

Volkswagen,Caddy,Caddy 3,Kombi Plus 1.9 TDI 104HP,183.3,180.2,440.5,1560

Volkswagen,Caddy,Caddy 3,Kombi Plus 1.9 TDI 75HP,183.3,180.2,440.5,1560

Volkswagen,Caddy,Caddy 3,Kombi Plus SDI,183.3,180.2,440.5,1532

Volkswagen,Caddy,Caddy 3,Kombi SDI,183.3,180.2,440.5,1532

Volkswagen,Caddy,Caddy 3,Life 1.6,,,,1403

Volkswagen,Caddy,Caddy 3,Life 1.9 TDI 104HP DSG,183.3,180.2,440.5,1560

Volkswagen,Caddy,Caddy 3,Life 1.9 TDI 104HP,183.3,180.2,440.5,1560

Volkswagen,Caddy,Caddy 3,Life 1.9 TDI 105HP 4Motion,,,,1698

Volkswagen,Caddy,Caddy 3,Life 1.9 TDI 105HP DSG,,,,1516

Volkswagen,Caddy,Caddy 3,Life 1.9 TDI 105HP,,,,1475

Volkswagen,Caddy,Caddy 3,Life 1.9 TDI 75HP,,,,1466

Volkswagen,Caddy,Caddy 3,Life 1.9 TDI BlueMotion 105HP,,,,1560

Volkswagen,Caddy,Caddy 3,Life 2.0 Ecofuel,,,,1583

Volkswagen,Caddy,Caddy 3,Life 2.0 TDI,,,,

Volkswagen,Caddy,Caddy 3,Startline 5 seats 1.2 TSI 105HP,182.2,179.4,440.6,1452

Volkswagen,Caddy,Caddy 3,Startline 5 seats 1.2 TSI 86HP,182.2,179.4,440.6,1452

Volkswagen,Caddy,Caddy 3,Startline 5 seats 1.6 TDI 102HP Bluemotion Technology,182.2,179.4,440.6,1546

Volkswagen,Caddy,Caddy 3,Startline 5 seats 1.6 TDI 102HP DSG,182.2,179.4,440.6,1556

Volkswagen,Caddy,Caddy 3,Startline 5 seats 1.6 TDI 102HP,182.2,179.4,440.6,1538

Volkswagen,Caddy,Caddy 3,Startline 5 seats 1.6 TDI 75HP Bluemotion Technology,182.2,179.4,440.6,1546

Volkswagen,Caddy,Caddy 3,Startline 5 seats 1.6 TDI 75HP,182.2,179.4,440.6,1538

Volkswagen,Caddy,Caddy 3,Startline 5 seats 2.0 Ecofuel 109CV,182.2,179.4,440.6,1632

Volkswagen,Caddy,Caddy 3,Startline 5 seats 2.0 TDI 110 4MOTION,182.2,179.4,440.6,1640

Volkswagen,Caddy,Caddy 3,Tramper 1.9 TDI 104HP DSG,183.3,180.2,440.5,1560

Volkswagen,Caddy,Caddy 3,Tramper 1.9 TDI 104HP,183.3,180.2,440.5,1560

Volkswagen,Caddy,Caddy 3,Trendline 5 seats 1.2 TSI 105HP,182.2,179.4,440.6,1502

Volkswagen,Caddy,Caddy 3,Trendline 5 seats 1.2 TSI 86HP,182.2,179.4,440.6,1502

Volkswagen,Caddy,Caddy 3,Trendline 5 seats 1.6 BiFuel 102HP,182.2,179.4,440.6,1531

