verzija,leto
1.6 TS,1998
1.7 TS,1994
1.7 TS,1995
1.7 TS,1996
1.8 TS 16v,1996
1.8 TS 16v,1997
1.8 TS 16v,1998
1.8 TS,1992
1.8 TS,1993
1.8 TS,1994
1.8 TS,1995
1.8 TS,1996
2.0 16v TS,1996
2.0 16v TS,1997
2.0 Q4,1992
2.0 Q4,1993
2.0 Q4,1994
2.0 Q4,1995
2.0 TD,1994
2.0 TD,1995
2.0 TD,1996
2.0 TD,1997
2.0 TS,1992
2.0 TS,1993
2.0 TS,1994
2.0 TS,1995
2.5 TD,1994
2.5 TD,1995
2.5 TD,1996
2.5 TD,1997
2.5 TD,1998
2.5 V6,1992
2.5 V6,1993
2.5 V6,1994
2.5 V6,1995
2.5 V6,1996
2.5 V6,1997
1.6 TS,1997
1.6 TS,1998
1.6 TS,1999
1.6 TS,2000
1.6 TS,2001
1.8 TS,1997
1.8 TS,1998
1.8 TS,1999
1.8 TS,2000
1.8 TS,2001
1.9 JTD 16v,2002
1.9 JTD 16v,2003
1.9 JTD 8v,2002
1.9 JTD 8v,2003
1.9 JTD,1997
1.9 JTD,1998
1.9 JTD,1999
1.9 JTD,2000
1.9 JTD,2001
2.0 JTS,2002
2.0 JTS,2003
2.0 TS,1997
2.0 TS,1998
2.0 TS,1999
2.0 TS,2000
2.0 TS,2001
2.4 JTD 10v,2002
2.4 JTD 10v,2003
2.4 JTD 20v,2003
2.4 JTD 20v,2004
2.4 JTD 20v,2005
2.4 JTD,1997
2.5 V6,2002
2.5 V6,2003
GTA,2002
GTA,2003
GTA,2004
GTA,2005
1.8 TBi 200HP Sport Plus,2010
1.8 TBi 200HP Sport Plus,2011
1.8,2005
1.8,2006
1.8,2007
1.8,2008
1.8,2009
1.8,2010
1.8,2011
1.9 JTDm 120HP Sport ECO,2010
1.9 JTDm 120HP Sport ECO,2011
1.9 JTDm 120HP Sport Plus ECO,2010
1.9 JTDm 120HP Sport Plus ECO,2011
1.9 JTDm 16v,2005
1.9 JTDm 16v,2006
1.9 JTDm 16v,2007
1.9 JTDm 16v,2008
1.9 JTDm 16v,2009
1.9 JTDm 16v,2010
1.9 JTDm 16v,2011
1.9 JTDm 8v,2005
1.9 JTDm 8v,2006
1.9 JTDm 8v,2007
1.9 JTDm 8v,2008
1.9 JTDm 8v,2009
1.9 JTDm 8v,2010
1.9 JTDm 8v,2011
1.9 JTS,2005
1.9 JTS,2006
1.9 JTS,2007
1.9 JTS,2008
1.9 JTS,2009
1.9 JTS,2010
1.9 JTS,2011
2.0 JTDm 170HP Sport Plus ECO,2010
2.0 JTDm 170HP Sport Plus ECO,2011
2.0 JTDm 170HP Sport Plus,2010
2.0 JTDm 170HP Sport Plus,2011
2.2 JTS,2005
2.2 JTS,2006
2.2 JTS,2007
2.2 JTS,2008
2.2 JTS,2009
2.2 JTS,2010
2.2 JTS,2011
2.4 JTDm,2005
2.4 JTDm,2006
2.4 JTDm,2007
2.4 JTDm,2008
2.4 JTDm,2009
2.4 JTDm,2010
2.4 JTDm,2011
3.2 V6 JTS Q4,2005
3.2 V6 JTS Q4,2006
3.2 V6 JTS Q4,2007
3.2 V6 JTS Q4,2008
3.2 V6 JTS Q4,2009
3.2 V6 JTS Q4,2010
3.2 V6 JTS Q4,2011
SW 1.8 TBi 200HP Sport Plus,2010
SW 1.8 TBi 200HP Sport Plus,2011
SW 1.9 JTDm 120HP Sport ECO,2010
SW 1.9 JTDm 120HP Sport ECO,2011
SW 1.9 JTDm 120HP Sport Plus ECO,2010
SW 1.9 JTDm 120HP Sport Plus ECO,2011
SW 2.0 JTDm 170HP Sport Plus ECO,2010
SW 2.0 JTDm 170HP Sport Plus ECO,2011
SW 2.0 JTDm 170HP Sport Plus,2010
SW 2.0 JTDm 170HP Sport Plus,2011
L,1976
L,1977
TL,1977
TS,1968
TS,1969
TS,1970
TS,1971
TS,1972
TS,1973
TS,1974
TS,1975
TS,1976
TS,1977
TX,1976
TX,1977
TX,1978
TX,1979
TX,1980
Volvo 164,1972
E,1972
Abarth,1953
Inter,1948
MM,1948
Gordini,1975
Gordini,1976
Gordini,1977
Gordini,1978
Gordini,1979
Gordini,1980
TL,1971
TL,1972
TL,1973
TL,1974
TL,1975
TL,1976
TL,1977
TL,1978
TL,1979
TL,1980
TS Automatic,1977
TS Automatic,1978
TS Automatic,1979
TS Automatic,1980
TS,1974
TS,1975
Alfa Romeo 1750 Berlina,1969
Alfa Romeo 1750 GTV,1967
1.4 TL/GTL,1978
1.4 TL/GTL,1979
1.4 TL/GTL,1980
1.4 TL/GTL,1981
1.4 TL/GTL,1982
1.4 TL/GTL,1983
