znamka,model,generacija,verzija,prvo leto proizvodnje,gorivo,poravnava motorja,prostornina motorja,moč motorja,prisilno polnenje motorja,pospesevanje,max hitrost,navor,emisije,poraba
Peugeot,108,,5-doors 1.2 PureTech 82 Allure TOP!,2014.0,Petrol,,1199.0,82.0,,10.9,170.0,118.0,99.0,4.3

Peugeot,108,,5-doors 1.2 PureTech 82 Open TOP!,2015.0,Petrol,,1199.0,82.0,,10.9,170.0,116.0,99.0,4.3

Peugeot,108,,5-doors 1.2 PureTech 82 Open,2015.0,Petrol,,1199.0,82.0,,10.9,170.0,116.0,99.0,4.3

Peugeot,108,,5-doors 1.2 PureTech 82 Roland Garros TOP!,2015.0,Petrol,,1199.0,82.0,,10.9,170.0,116.0,99.0,4.3

Peugeot,108,,5-doors 1.2 VTi 82,2014.0,Petrol,,1199.0,82.0,,11.0,170.0,118.0,99.0,4.3

Peugeot,108,,5-doors e-VTi 68,2014.0,Petrol,,998.0,69.0,,,157.0,96.0,88.0,3.8

Peugeot,108,,5-doors VTi 68 ETG5,2014.0,Petrol,,998.0,69.0,,,157.0,96.0,97.0,4.2

Peugeot,108,,5-doors VTi 68,2014.0,Petrol,,998.0,69.0,,,157.0,96.0,95.0,4.1

Peugeot,108,,TOP! 1.0 68HP,2014.0,Petrol,,998.0,68.0,,12.3,157.0,93.0,99.0,4.3

Land Rover,109 Series III,,2.6,1971.0,Petrol,,2625.0,76.9,,,115.0,178.0,,

Land Rover,109 Series III,,3.5 V8,1979.0,Petrol,,3528.0,92.0,,,120.0,225.0,,13.0

Renault,11,11,1.4 TL/GTL,1983.0,Petrol,,1397.0,68.0,,,162.0,106.0,,6.9

Renault,11,11,1.4 TSE,1983.0,Petrol,,1397.0,72.0,,13.0,165.0,106.0,,7.0

Renault,11,11,GTD - TDE,1983.0,Diesel,,1595.0,55.0,,,148.0,102.0,,4.4

Renault,11,11,GTX - TXE,1983.0,Petrol,,1721.0,82.0,,,170.0,136.0,,5.2

Renault,11,11 II,1.2 TC,1986.0,Petrol,,1237.0,54.0,,16.0,146.0,88.0,,6.7

Renault,11,11 II,1.4 Automatic,1986.0,Petrol,,1397.0,68.0,,,156.0,106.0,,7.2

Renault,11,11 II,1.4 GTL,1986.0,Petrol,,1397.0,68.0,,13.1,162.0,102.0,,6.7

Renault,11,11 II,1.4 TL,1986.0,Petrol,,1397.0,60.0,,15.0,151.0,102.0,,6.9

Renault,11,11 II,1.7 GTE,1987.0,Petrol,,1721.0,95.0,,10.0,181.0,140.0,,8.5

Renault,11,11 II,1.7 GTX,1986.0,Petrol,,1721.0,90.0,,10.7,179.0,135.0,,7.1

Renault,11,11 II,GTD,1986.0,Diesel,,1595.0,54.0,,16.0,148.0,100.0,,5.7

Renault,11,11,TL - GTL,1983.0,Petrol,,1397.0,60.0,,15.0,151.0,102.0,,5.1

Renault,11,11,Turbo,1984.0,Petrol,,1397.0,105.0,,9.0,186.0,162.0,,6.2

Land Rover,Defender,110,2.2 Diesel,1983.0,Diesel,,2286.0,60.0,,,110.0,140.0,,

